ID					Name								Status	MinDisk	MinRAM
b21af3ef-1a1e-46b5-98ef-bb0c81b25292	Arch Linux (PVHVM)						ACTIVE	20	512
018826d0-0776-4f4c-95a2-c9b6bbcefdfd	Ubuntu 14.04 LTS (Trusty Tahr) (PV)				ACTIVE	20	512
951331fe-cb49-4254-ae19-ba66af80cb6c	CentOS 6 (PV)							ACTIVE	20	512
c3c47721-9e28-403a-9ea0-013fd665577d	Fedora 24 (PVHVM)						ACTIVE	20	512
a2de6b16-15c9-40ff-b5a6-ea87965a889e	Red Hat Enterprise Linux 7 (PVHVM)				ACTIVE	20	512
76718f32-54af-43a7-bfa2-bf314d4765e3	CentOS 7 (PVHVM)						ACTIVE	20	512
2d3bb98d-9afe-4b42-93aa-8c05a2560d73	Scientific Linux 7 (PVHVM)					ACTIVE	20	512
3192e0bb-3960-4bd0-8e90-b5c8a061ecce	Fedora 23 (PVHVM)						ACTIVE	20	512
8a99dc02-68e4-4dec-ac6c-70d509dbe4a0	Ubuntu 12.04 LTS (Precise Pangolin) (PV)			ACTIVE	20	512
3eba4fbb-51da-4233-b699-8a4030561add	CoreOS (Stable)							ACTIVE	20	512
dd008528-49f9-461f-9818-87dad4310252	CoreOS (Alpha)							ACTIVE	20	512
b2da5e7e-8c0f-43c5-9e53-99560e4be8d2	CoreOS (Beta)							ACTIVE	20	512
971b8571-f411-4b41-9927-e6b3b16c590d	Red Hat Enterprise Linux 6 (PVHVM)				ACTIVE	20	512
298819ed-db87-49ff-9ac5-5d0d0de32118	Red Hat Enterprise Linux 6 (PV)					ACTIVE	20	512
0f7e4261-93db-4db4-a1d9-35985c080980	Debian Unstable (Sid) (PVHVM)					ACTIVE	20	512
6d45634e-04c5-43e2-84ad-e86830d16bb5	Red Hat Enterprise Linux 5 (PV)					ACTIVE	20	512
2f0f37e3-dfab-4636-af26-7385b3d8eeb8	Debian 8 (Jessie) (PVHVM)					ACTIVE	20	512
6ab77e10-a648-4648-9179-1e7f9ccbf04d	CentOS 6 (PVHVM)						ACTIVE	20	512
b5bbdf87-3226-4199-b9ff-b18c95f7232f	CentOS 5 (PV)							ACTIVE	20	512
1923bbb7-5097-44e1-98e8-5486293f1f14	Debian 7 (Wheezy) (PVHVM)					ACTIVE	20	512
bb5a7cad-4c79-4c19-85b4-44bd32808a5f	Debian Testing (Stretch) (PVHVM)				ACTIVE	20	512
13be9b53-61d6-4f64-875e-534c8a5e32a9	barclay-bastion							ACTIVE	80	1024
b56f1f77-44ec-4819-be22-1e1438633173	Ubuntu 12.04 LTS (Precise Pangolin) (PVHVM)			ACTIVE	20	512
1d3ea64f-1ead-4042-8cb6-8ceb523b6149	Ubuntu 16.04 LTS (Xenial Xerus) (PVHVM)				ACTIVE	20	512
b8f96241-50fe-48fe-9788-0d11735450ea	JNA-magic32							ACTIVE	80	512
088ad0a6-34bf-441e-a318-2dc467558c18	Scientific Linux 6 (PVHVM)					ACTIVE	20	512
